iter	Passed	Remaining
405	7497	6094
406	7515	6075
407	7533	6056
408	7552	6038
409	7571	6020
410	7589	6001
411	7608	5983
412	7626	5964
413	7644	5946
414	7663	5927
415	7682	5909
416	7701	5891
417	7721	5874
418	7740	5855
419	7758	5837
420	7777	5819
421	7796	5801
422	7815	5783
423	7834	5765
424	7853	5747
425	7872	5728
426	7892	5711
427	7911	5693
428	7929	5674
429	7948	5656
430	7967	5637
431	7986	5619
432	8004	5601
433	8023	5583
434	8041	5564
435	8059	5545
436	8077	5526
437	8096	5508
438	8114	5489
439	8133	5471
440	8151	5452
441	8169	5433
442	8188	5415
443	8206	5396
444	8224	5378
445	8244	5360
446	8263	5342
447	8282	5324
448	8301	5306
449	8320	5288
450	8339	5269
451	8358	5251
452	8376	5233
453	8395	5214
454	8413	5196
455	8432	5177
456	8451	5159
457	8469	5141
458	8488	5122
459	8506	5103
460	8524	5085
461	8543	5066
462	8562	5048
463	8580	5030
464	8600	5012
465	8618	4993
466	8636	4975
467	8655	4956
468	8674	4938
469	8692	4919
470	8711	4901
471	8730	4883
472	8749	4864
473	8768	4846
474	8789	4829
475	8808	4811
476	8827	4792
477	8845	4774
478	8863	4755
479	8882	4737
480	8901	4718
481	8919	4700
482	8938	4682
483	8957	4663
484	8976	4645
485	8995	4627
486	9013	4608
487	9032	4590
488	9050	4571
489	9069	4553
490	9088	4534
491	9106	4516
492	9125	4497
493	9144	4479
494	9163	4461
495	9181	4442
496	9200	4424
497	9218	4405
498	9236	4386
499	9254	4368
500	9274	4350
501	9293	4331
502	9312	4313
503	9332	4295
504	9351	4277
505	9370	4259
506	9390	4241
507	9409	4222
508	9427	4204
509	9446	4186
510	9465	4167
511	9484	4149
512	9502	4130
513	9521	4112
514	9540	4094
515	9558	4075
516	9577	4056
517	9596	4038
518	9615	4020
519	9634	4001
520	9652	3983
521	9671	3964
522	9689	3946
523	9709	3928
524	9728	3909
525	9746	3891
526	9764	3872
527	9783	3854
528	9802	3835
529	9820	3817
530	9839	3798
531	9858	3780
532	9878	3762
533	9897	3743
534	9915	3725
535	9935	3707
536	9953	3688
537	9972	3670
538	9991	3651
539	10009	3633
540	10028	3614
541	10046	3596
542	10065	3577
543	10084	3559
544	10103	3540
545	10121	3522
546	10140	3503
547	10159	3485
548	10178	3466
549	10196	3448
550	10215	3429
551	10235	3411
552	10254	3393
553	10273	3375
554	10292	3356
555	10311	3338
556	10330	3319
557	10349	3301
558	10370	3283
559	10390	3265
560	10411	3247
561	10433	3230
562	10454	3212
563	10475	3194
564	10494	3176
565	10512	3157
566	10531	3138
567	10550	3120
568	10569	3101
569	10588	3083
570	10606	3064
571	10625	3046
572	10644	3027
573	10662	3009
574	10681	2990
575	10700	2972
576	10718	2953
577	10737	2935
578	10756	2916
579	10774	2898
580	10793	2879
581	10812	2861
582	10831	2842
583	10850	2824
584	10869	2805
585	10887	2787
586	10906	2768
587	10925	2749
588	10943	2731
589	10962	2712
590	10981	2694
591	11001	2675
592	11019	2657
593	11038	2638
594	11056	2620
595	11076	2601
596	11094	2583
597	11113	2564
598	11131	2545
599	11149	2527
600	11168	2508
601	11187	2490
602	11205	2471
603	11224	2453
604	11243	2434
605	11261	2415
606	11279	2397
607	11298	2378
608	11317	2360
609	11336	2341
610	11354	2323
611	11373	2304
612	11392	2285
613	11410	2267
614	11429	2248
615	11448	2230
616	11467	2211
617	11486	2193
618	11504	2174
619	11522	2155
620	11543	2137
621	11562	2119
622	11582	2100
623	11601	2082
624	11619	2063
625	11640	2045
626	11659	2026
627	11677	2008
628	11696	1989
629	11714	1971
630	11733	1952
631	11752	1933
632	11770	1915
633	11789	1896
634	11808	1878
635	11827	1859
636	11847	1841
637	11865	1822
638	11884	1804
639	11903	1785
640	11921	1766
641	11940	1748
642	11958	1729
643	11977	1711
644	11995	1692
645	12014	1673
646	12032	1655
647	12051	1636
648	12070	1618
649	12090	1599
650	12109	1581
651	12128	1562
652	12146	1543
653	12165	1525
654	12183	1506
655	12202	1488
656	12221	1469
657	12240	1450
658	12259	1432
659	12278	1413
660	12297	1395
661	12316	1376
662	12335	1358
663	12354	1339
664	12373	1321
665	12391	1302
666	12410	1283
667	12429	1265
668	12448	1246
669	12466	1228
670	12484	1209
671	12503	1190
672	12522	1172
673	12539	1153
674	12558	1134
675	12576	1116
676	12595	1097
677	12613	1079
678	12633	1060
679	12652	1041
680	12673	1023
681	12692	1004
682	12710	986
683	12729	967
684	12748	949
685	12766	930
686	12785	911
687	12804	893
688	12822	874
689	12841	856
690	12860	837
691	12879	818
692	12898	800
693	12917	781
694	12935	763
695	12954	744
696	12972	725
697	12991	707
698	13010	688
699	13029	670
700	13048	651
701	13066	632
702	13086	614
703	13104	595
704	13123	577
705	13142	558
706	13160	539
707	13180	521
708	13200	502
709	13218	484
710	13237	465
711	13256	446
712	13274	428
713	13292	409
714	13311	390
715	13330	372
716	13348	353
717	13367	335
718	13386	316
719	13404	297
720	13423	279
721	13442	260
722	13460	242
723	13479	223
724	13498	204
725	13516	186
726	13534	167
727	13553	148
728	13572	130
729	13591	111
730	13609	93
731	13628	74
732	13646	55
733	13665	37
734	13683	18
735	13702	0
