iter	Logloss
152	0.3413228446
153	0.3409653578
154	0.3400446197
155	0.3396521854
156	0.3395729276
157	0.3393086141
158	0.3390854059
159	0.3387055431
160	0.3384735053
161	0.338446562
162	0.3381793464
163	0.3379213228
164	0.3378173635
165	0.3374420406
166	0.3373663894
167	0.3372523493
168	0.3372388163
169	0.3371342551
170	0.3368824208
171	0.3367228831
172	0.3362172367
173	0.3354434183
174	0.3349813811
175	0.3343854542
176	0.3342543051
177	0.3342135121
178	0.3337123379
179	0.3333457227
180	0.3330600224
181	0.3328757356
182	0.3328101732
183	0.3327206242
184	0.3323363739
185	0.3323251379
186	0.3322060919
187	0.3320089223
188	0.3317548842
189	0.3310540593
190	0.3309215986
191	0.3307621143
192	0.3305688353
193	0.3304952001
194	0.3302403048
195	0.3298858792
196	0.3298401182
197	0.3296676997
198	0.3295829174
199	0.3294699322
200	0.329388128
201	0.3292455797
202	0.3292121031
203	0.3291274381
204	0.3287573155
205	0.3286688668
206	0.3281959232
207	0.3280190145
208	0.3275711016
209	0.3269068654
210	0.3267939334
211	0.3266590425
212	0.3264911434
213	0.3262640969
214	0.3256453812
215	0.3255580144
216	0.3254792339
217	0.3254101342
218	0.3253387116
219	0.3252089645
220	0.325198405
221	0.3250947515
222	0.3247570525
223	0.3246339878
224	0.3242442425
225	0.3241713373
226	0.3238984954
227	0.3237897253
228	0.3236935787
229	0.3236674457
230	0.32357444
231	0.3234550988
232	0.3229831882
233	0.3225545846
234	0.3224101458
235	0.3223280423
236	0.3222636499
237	0.3222281453
238	0.321657066
239	0.32151515
240	0.3211629309
241	0.321092665
242	0.3209992055
243	0.3209221438
244	0.3204868978
245	0.3201645682
246	0.3200727713
247	0.3199625312
248	0.3196052787
249	0.3193678794
250	0.3192262266
251	0.3187564007
252	0.3186412115
253	0.3185146231
254	0.318445804
255	0.3184267439
256	0.3183754781
257	0.3179590611
258	0.3177196171
259	0.3175555161
260	0.3174602537
261	0.3173793625
262	0.3171636975
263	0.3171143404
264	0.3170916638
265	0.3163075084
266	0.3157877969
267	0.3156137315
268	0.3155316074
269	0.3153879121
270	0.3153221751
271	0.314954743
272	0.3148553265
273	0.314720498
274	0.3143713948
275	0.3138608146
276	0.3137698853
277	0.3132286292
278	0.3131483725
279	0.3129528276
280	0.3128185301
281	0.3122309001
282	0.3120019615
283	0.3115957898
284	0.3115191574
285	0.3114795911
286	0.3110330372
287	0.3107664761
288	0.3107098665
289	0.3104208634
290	0.310098136
291	0.3099388936
292	0.3097991998
293	0.3097550046
294	0.3097171845
295	0.3094177616
296	0.308792989
297	0.3084857339
298	0.3079680796
299	0.3079516735
300	0.3078918736
301	0.3075621829
302	0.3070614899
303	0.3067795333
304	0.3064111805
305	0.3061973357
306	0.3061521299
307	0.3057196146
308	0.3055404589
309	0.3054724443
310	0.3054017675
311	0.3053743181
312	0.3051700154
313	0.305089449
314	0.305039466
315	0.3049996318
316	0.3048769725
317	0.3045494049
318	0.304389945
319	0.3043595756
320	0.3043015287
321	0.3041639673
322	0.3037480816
323	0.3036528941
324	0.3035363431
325	0.3030764697
326	0.3029031445
327	0.3027269603
328	0.3025957654
329	0.3022375155
330	0.3021034269
331	0.3019320561
332	0.3018908164
333	0.3016911065
334	0.301572565
335	0.3014053204
336	0.3011933853
337	0.3008740269
338	0.3008546845
339	0.300817728
340	0.3007228775
341	0.300674551
342	0.3005021639
343	0.30044625
344	0.2999306816
345	0.2998128274
346	0.2996294822
347	0.2995751966
348	0.2994276635
349	0.2991209125
350	0.2987400316
351	0.2985331617
352	0.2978773372
353	0.2977853025
354	0.2974017115
355	0.2972374211
356	0.2972016068
357	0.29716665
358	0.2970072466
359	0.2968449242
360	0.2965383496
361	0.2963215733
362	0.2961528743
363	0.2960953642
364	0.2959249268
365	0.295780553
366	0.2957245955
367	0.2955581136
368	0.295156402
369	0.2950919724
370	0.2947503942
371	0.2944302286
372	0.294215424
373	0.2942027472
374	0.2941766972
375	0.2941227979
376	0.2939750536
377	0.2938898911
378	0.2937759657
379	0.2933747686
380	0.2933113913
381	0.2932395359
382	0.2926777288
383	0.2924914622
384	0.2924371615
385	0.2921810204
386	0.2921336045
387	0.2921142788
388	0.2919292995
389	0.2916427834
390	0.2914106313
391	0.2912287838
392	0.2911684455
393	0.2911530736
394	0.290982093
395	0.2909216061
396	0.2908998944
397	0.2906471435
398	0.2903731315
399	0.2903364594
400	0.2903120824
401	0.2897532157
402	0.2891943892
403	0.2889583664
404	0.288157709
405	0.2881252259
406	0.2881051154
407	0.2880342947
408	0.2879119923
409	0.2876027034
410	0.2875420873
411	0.2874048665
412	0.2872819656
413	0.286630372
414	0.2864737231
415	0.286032235
416	0.2859574213
417	0.2858039593
418	0.2855945384
419	0.2854417513
420	0.2851547041
421	0.2850873275
422	0.2848957645
423	0.2847486472
424	0.2844371662
425	0.2841885731
426	0.2839552873
427	0.283840315
428	0.2837595052
429	0.2836133967
430	0.2835824365
431	0.2832530386
432	0.283205326
433	0.2831844013
434	0.283164517
435	0.2829732425
436	0.282882798
437	0.2827660818
438	0.2827415895
439	0.2823929252
440	0.282234523
441	0.2820761534
442	0.2810952766
443	0.2809755008
444	0.2809178865
445	0.2808284198
446	0.2805355927
447	0.2804610634
448	0.2803569506
449	0.279963024
450	0.2797120805
451	0.2793854958
452	0.2793215096
453	0.2792644903
454	0.279248491
455	0.2786708205
456	0.2786554796
457	0.2785464311
458	0.2785315359
459	0.2782970973
460	0.278250275
461	0.2781796935
462	0.2779467411
463	0.277925058
464	0.2778138806
465	0.2775357167
466	0.2775008829
467	0.2772909037
468	0.277091608
469	0.2770243153
470	0.2769070213
471	0.2768111896
472	0.2767843253
473	0.2766570519
474	0.2764076079
475	0.2762593018
476	0.2761422527
477	0.2758785655
478	0.2757576441
479	0.2756824426
480	0.2755920009
481	0.2751271378
482	0.2748688768
483	0.2747774706
484	0.2745397336
485	0.2744611728
486	0.2742968878
487	0.2742026983
488	0.2735553225
489	0.2733165121
490	0.2732217505
491	0.2730577825
492	0.2727990585
493	0.2726337424
494	0.2723224586
495	0.2722085848
496	0.2718713403
497	0.2717227856
498	0.2716943557
499	0.2716237647
500	0.2710297249
501	0.270956283
502	0.2708878212
503	0.2707621582
504	0.2705745109
505	0.2702542336
506	0.2700743291
507	0.2698572663
508	0.2695262892
509	0.2693869822
510	0.2693473784
511	0.269172717
512	0.2691562451
513	0.2690296501
514	0.268608071
515	0.2685690938
516	0.2684622881
517	0.2681723855
518	0.267940991
519	0.2672408132
520	0.2670904195
521	0.2670749102
522	0.2667703297
523	0.2659491657
524	0.2657393165
525	0.2655337288
526	0.2650123428
527	0.2648368735
528	0.264798347
529	0.2647298798
530	0.264280576
531	0.2641921541
532	0.2637377761
533	0.2635720938
534	0.2633205219
535	0.2627898749
536	0.2626512028
537	0.2626133929
538	0.2623195456
539	0.2618808024
540	0.2616563542
541	0.2614130026
542	0.2611524553
543	0.2611402078
544	0.2609852845
545	0.2609708144
546	0.2606554258
547	0.2605893203
548	0.2605197489
549	0.260391943
550	0.2602923746
551	0.2602459156
552	0.2601445038
553	0.2599730044
554	0.2599028372
555	0.2598885217
556	0.259761281
557	0.2593786541
558	0.2593247362
559	0.2591518564
560	0.2590884076
561	0.2589549649
562	0.2588314321
563	0.2588254241
564	0.2587547041
565	0.2586315736
566	0.2586256793
567	0.2584785229
568	0.2584512694
569	0.2577292515
570	0.257717823
571	0.257612467
572	0.2570817997
573	0.2570018281
574	0.256822846
575	0.256756219
576	0.2566143656
577	0.2565217643
578	0.2563773762
579	0.2561464716
580	0.2561150857
581	0.255796134
582	0.2554950859
583	0.2554844933
584	0.2553089541
585	0.2552342972
586	0.2551382168
587	0.2546944952
588	0.2546819512
589	0.2546385424
590	0.2546329775
591	0.2545603232
592	0.253856824
593	0.2538420772
594	0.2537554584
595	0.2537411938
596	0.2531640414
597	0.2530808285
598	0.2530294611
599	0.2529742929
600	0.2525323089
601	0.2524861942
602	0.2522330385
603	0.2521589305
604	0.2520918513
605	0.2515203281
606	0.2515106465
607	0.2513291704
608	0.2511979481
609	0.2511059683
610	0.2510238235
611	0.2506069314
612	0.2504796412
613	0.2503138611
614	0.2499870615
615	0.2497887051
616	0.2494852758
617	0.2494661815
618	0.249411554
619	0.2489032691
620	0.2486767387
621	0.2486700321
622	0.2484214876
623	0.2481410349
624	0.2481338408
625	0.2481183307
626	0.2481071164
627	0.2480454996
628	0.24802898
629	0.2480196442
630	0.2476916695
631	0.2476691828
632	0.2475992703
633	0.2473436716
634	0.2466630307
635	0.2466047411
636	0.2465059829
637	0.2462473067
638	0.2459790702
639	0.2457816378
640	0.2456058335
641	0.2449493553
642	0.2448152118
643	0.2442118388
644	0.244188228
645	0.2439501116
646	0.2437348833
647	0.2435400647
648	0.2434035078
649	0.2432514902
650	0.243241134
651	0.2430705026
652	0.2429360894
653	0.2426333653
654	0.2425767962
655	0.2424552765
656	0.2423386784
657	0.2421403136
658	0.2418324223
659	0.2417555275
660	0.2415601319
661	0.2415029199
662	0.2414788711
663	0.2411903851
664	0.2411740983
665	0.2410613532
666	0.2408476531
667	0.2405556182
668	0.2404117946
669	0.2403493692
670	0.2402771459
671	0.240190052
672	0.2400329705
673	0.2398913996
674	0.2397486392
675	0.239662733
676	0.2396533609
677	0.2395263651
678	0.2394738418
679	0.2390910902
680	0.2389279054
681	0.2388066258
682	0.2387988581
683	0.2384440278
684	0.2381359148
685	0.2381059822
686	0.2375236695
687	0.2374106913
688	0.2372917807
689	0.2370643615
690	0.2369856781
691	0.2366840643
692	0.2363614768
693	0.2362946664
694	0.2362090246
695	0.236078309
696	0.2356880345
697	0.2355428094
698	0.2354752359
699	0.2354174294
700	0.235336419
701	0.2351453225
702	0.2350678501
703	0.2347067435
704	0.234511437
705	0.2343856282
706	0.2343438864
707	0.2343166764
708	0.2342140119
709	0.234142777
710	0.2339517307
711	0.2339054063
712	0.2336020967
713	0.233472959
714	0.2334159153
715	0.2330381429
716	0.2329038915
717	0.2327518146
718	0.2326865571
719	0.2326782576
720	0.2324876424
721	0.2324814515
722	0.2323844932
723	0.2323755272
724	0.2320353707
725	0.2319170971
726	0.2317004444
727	0.2315170826
728	0.231279858
729	0.2310716153
730	0.2308026539
731	0.2307902833
732	0.2306674252
733	0.2302054562
734	0.2301225298
735	0.2300777582
